#,Station,Volt,Heat Class,Max Rate,Cont Rate,Firm Rate,Nameplate Rate,ST Tie Cap,LT Tie Cap
908,CAPE ROCK,34.5/12.47,N,44,22,22,44,0,0
602,CAPE-ELM,34.5/4.16,L,5.4,0,2,14,2,2
18,CARONDELET_14,34.5/13.8,O,23.9,18.5,18.5,28,0,0
922,FAIRGROUNDS_12,69/12.47,H,45.7,35,40,56,5,0
117,FEE FEE,34.5/12.47,L,53.8,39.9,39.9,44.8,0,4
S41,HARRISBURG,34.5/4.16,H,10.26,10.26,10.26,0,0,0
S61,MARION,34.5/12.47,M,25.17,25.17,25.17,0,0,0
621,MIDTOWN,34.5/4.16,L,8.2,8.1,12.6,12.5,4.5,4.5
Y45,PANA E,34.5/12.47,M,0.1,0,0,0,0,0
276,REAVIS,34.5/12.47,L,41,28,28,36.4,0,0